name,values,default,flags,desc,sources,uncommented,count,default_same,bad_debug,example
sc_force_single_display_list_per_layer,1,false,developmentonly defensive,<no description>,Kaizu,1,1,False,False,"""sc_force_single_display_list_per_layer"" ""1"""
snd_disable_mixer_duck,1,false,cheat,<no description>,Kaizu,1,1,False,False,"""snd_disable_mixer_duck"" ""1"""
vismon_trace_limit,0,12,gamedll cheat,<no description>,TestCfg,1,1,False,False,vismon_trace_limit 0
panorama_worldpanel_update_culling,true,false,developmentonly clientdll defensive,<no description>,"Sqooky,SqookyBase,TestCfg",0,3,False,False,"//panorama_worldpanel_update_culling              ""true""        // Messes with health bar rendering. it is weird.   [def: ""false""]"
r_pipeline_stats_flush_before_sleeping,true,false,developmentonly defensive,Experimental: Set to 1 to enable GPU pipeline flushes right before the render thread sleeps to wait for more work.,"Sqooky,SqookyBase,TestCfg",0,3,False,False,//r_pipeline_stats_flush_before_sleeping true
sc_aggregate_show_outside_vis,true,false,developmentonly,<no description>,"Sqooky,SqookyBase,TestCfg",0,3,False,False,"//sc_aggregate_show_outside_vis                   ""true""        //this makes the entire map stop rendering          [def: ""false""]"
fs_async_threads,"17,8",-1,developmentonly defensive,Number of IO threads in async filesystem (-1 == auto),"Boot,Kaizu",0,2,False,False,"// fs_async_threads                          ""8"""
lb_enable_envmaps,0,true,developmentonly cheat menubar_item,SceneSystem/LightBinner/Enable EnvMaps,"Boot,Kaizu",0,2,False,False,"// lb_enable_envmaps                         ""0""             // Gives fps but fucks up lighting"
r_dopixelvisibility,false,true,cheat,<no description>,"Boot,Kaizu",0,2,False,False,"// r_dopixelvisibility                       ""false""         // Default true, enables or disables pixel visibility calculations"
panorama_disable_draw_text_shadow,1,false,developmentonly hidden defensive,<no description>,Kaizu,0,1,False,False,"//""panorama_disable_draw_text_shadow"" ""1"""
panorama_min_comp_layer_cache_cost,256,4096,developmentonly hidden defensive,<no description>,Kaizu,0,1,False,False,"//""panorama_min_comp_layer_cache_cost"" ""256"""
r_extra_render_frames,1,0,cheat,<no description>,TestCfg,0,1,False,False,"//r_extra_render_frames                     ""1""             // Setting this to anything above 0 causes issues with latency. negative values cause the game to crash. [def: ""0""]"
r_indirectlighting,false,true,cheat,Set to use indirect lighting,Kaizu,0,1,False,False,"//""r_indirectlighting"" ""false"""
r_skip_precache_validation_check,true,false,developmentonly defensive,<no description>,TestCfg,0,1,False,False,//r_skip_precache_validation_check true
sc_disable_world_materials,1,false,cheat,<no description>,Kaizu,0,1,False,False,"//""sc_disable_world_materials"" ""1""     // Turns the entire map gray (strips all materials from the world)"
sc_skip_traversal,true,false,cheat,<no description>,TestCfg,0,1,False,False,//sc_skip_traversal true
sc_throw_away_all_layers,true,false,developmentonly defensive,<no description>,TestCfg,0,1,False,False,//sc_throw_away_all_layers true
sc_aggregate_gpu_culling_conservative_bounds,"false,true",false,developmentonly,<no description>,"Sqooky,SqookyBase,TestCfg",5,5,True,False,"sc_aggregate_gpu_culling_conservative_bounds    ""true"""
skeleton_instance_lod_optimization,"1,false",false,developmentonly gamedll clientdll replicated,"Compute LOD mask internally like since 2016, i.e. force all LOD groups' bones to compute","Boot,Kaizu,Sqooky,SqookyBase,TestCfg",4,5,True,False,"skeleton_instance_lod_optimization          ""false""         // Compute LOD mask internally like since 2016, i.e. force all LOD groups' bones to compute [def: ""false""]"
r_citadel_gpu_culling_two_pass,"0,true",true,developmentonly clientdll menubar_item defensive,Citadel/Graphics/GPU Culling (Two Pass),"Kaizu,Sqooky,SqookyBase,TestCfg",4,4,True,False,"r_citadel_gpu_culling_two_pass                  ""true"""
r_citadel_gpu_culling,true,true,developmentonly clientdll menubar_item defensive,Citadel/Graphics/GPU Culling,"Sqooky,SqookyBase,TestCfg",3,3,True,False,"r_citadel_gpu_culling                           ""true"""
minimap_update_rate_hz,30,30,gamedll release,<no description>,Kaizu,1,1,True,False,"""minimap_update_rate_hz"" ""30"""
r_flashlightambient,0,0,clientdll cheat,<no description>,Kaizu,1,1,True,False,"""r_flashlightambient"" ""0""            // Disables ambient lighting math on flashlights/muzzle flashes"
r_flashlightconstant,0,0,clientdll replicated cheat,<no description>,Kaizu,1,1,True,False,"""r_flashlightconstant"" ""0""           // Disables constant lighting math"
sc_aggregate_gpu_culling,true,true,developmentonly defensive,Toggles GPU culling of aggregate meshes,Kaizu,1,1,True,False,"""sc_aggregate_gpu_culling"" ""true"""
sc_instanced_mesh_gpu_culling,true,true,developmentonly defensive,Toggles GPU culling of instanced meshes,Kaizu,1,1,True,False,"""sc_instanced_mesh_gpu_culling"" ""true"""
engine_allow_multiple_simulates_per_frame,false,false,developmentonly defensive,"When the client is catching up in low frame rate situations, should we run client simulate more than once a frame?","Boot,Kaizu",0,2,True,False,"// engine_allow_multiple_simulates_per_frame ""false""         // Default false, not sure about this one so dont change it"
sc_disable_procedural_layer_rendering,"false,true",false,cheat,<no description>,"Kaizu,TestCfg",0,2,True,False,"//""sc_disable_procedural_layer_rendering"" ""true"""
panorama_allow_texture_composition_layer_fast_path,true,true,developmentonly hidden defensive,<no description>,TestCfg,0,1,True,False,//panorama_allow_texture_composition_layer_fast_path true
sc_aggregate_debug_draw_meshlets,-1,0,developmentonly menubar_item,SceneSystem/Aggregates/Visualize Meshlets,"Sqooky,SqookyBase",2,2,False,True,"sc_aggregate_debug_draw_meshlets                ""-1"""
sc_aggregate_debug_draw_meshlets_bounds,true,false,developmentonly,Visualize meshlet bounds and cone axis. Mesh shader only.,"Sqooky,SqookyBase",2,2,False,True,"sc_aggregate_debug_draw_meshlets_bounds         ""true"""
sparseshadowtree_disable_add_layers,1,false,developmentonly,"Disable SST runtime layers, for debugging (will exclude geo that CAN render into SST if SST otherwise enabled)",Kaizu,1,1,False,True,"""sparseshadowtree_disable_add_layers"" ""1""        // Completely breaks Sparse Shadow Tree layering"
