ai_async_queue_debug | sv | Default: 0<br>Dump the ai async work queue jobs each tick.  0 = off, 1 = on, 2 = also dump entries
citadel_capture_point_enable_fast_capture | sv, cl, rep, cheat | Default: false<br>
citadel_control_point_capture_rate_scale | sv, cl, rep | Default: 1<br>
citadel_control_point_decay_rate | sv, cl, rep | Default: 0.1<br>
citadel_control_point_max_capture_rate | sv, cl, rep | Default: 2<br>
citadel_crate_client_notification_time | sv, cheat | Default: 30<br>
citadel_crate_delivery_base_payoff | sv, cheat | Default: 0<br>
citadel_crate_delivery_overtime_bonus | sv, cheat | Default: 50<br>
citadel_crate_disable_early_spawn |  | 
citadel_crate_early_spawn_delay |  | 
citadel_crate_early_to_trooper_spawn_delay |  | 
citadel_crate_respawn_interval | sv, cheat | Default: 300<br>
citadel_crate_reward_base | sv | Default: 1300<br>
citadel_crate_reward_time_multiplier | sv | Default: 230<br>
citadel_crate_spawn_enabled | sv | Default: true<br>
citadel_crate_spawn_initial_delay | sv, cheat | Default: 600<br>
citadel_dev_simulate_mm_response | cl | Default: -1<br>Allows for forcing MM to act like it returned the specified error for UI testing
citadel_disable_fast_cooldowns | sv, cheat | Disable fast cooldowns
citadel_disable_fast_stamina | sv, cheat | Disable fast stamina
citadel_enable_fast_cooldowns | sv, cheat | Enables fast cooldowns
citadel_enable_fast_stamina | sv, cheat | Enables fast stamina
citadel_enable_ping_rate_limiting | sv | Default: false<br>
citadel_exonerate_account | cl, release | &lt;Account ID&gt; Clear recent cheat reports on this account.
citadel_fibonacci_sphere_trace | sv, cheat | Draws the LOS check generated by our fibonacci sphere trace algorithm
citadel_fly_accelerate | sv, cl, rep, cheat | Default: 2<br>
citadel_force_resolution | cl | Force a resolution change even if it's not supported on your monitor. \[h\] \[w\] \[refresh rate\]
citadel_guided_bot_match_hint_time_mult | cl, release | Default: 0.25<br>How much faster/slower to show hints in guided bot match mode
citadel_hero_demo_enable_fast_stamina | sv, cl, a, rep, release | Default: false<br>Do we enable fast stamina cooldowns
citadel_hero_roster | cl, a, release | Default: <br>A comma separated list of hero IDs that hold the currently selected roster heroes
citadel_hero_roster_high_priority | cl, a, release | Default: <br>A comma separated list of hero IDs that hold the currently high priority roster heroes
citadel_hero_roster_preferred | cl, a, release | Default: <br>A comma separated list of hero IDs that hold the currently preferred roster heroes
citadel_hitbox_body_to_headshot_threshold | sv, cl, rep | Default: 15<br>Distance threshold that we allow bullet to penetrate body to headshot.
citadel_item_draft_force_draw | sv | Default: <br>Comma-separated list of localized item names to force draft.  Ignores tier requirements.  ex, spirit lifesteal, extra charge
citadel_item_pickup_fallrate | sv, cheat | Default: 5<br>
citadel_match_data_allow_meta_prefix | sv | Default: <br>A comma separated list of prefixes that will allow for recording of track groups to the metadata file
citadel_match_data_block_meta_prefix | sv | Default: <br>A comma separated list of prefixes that will block recording of track groups to the metadata file
citadel_match_intro_duration_simple | sv, cheat | Default: 5<br>How long pre-match is until we start the match in the simple version.
citadel_match_intro_style | sv, cl, rep | Default: 1<br>0 = none, 1 = pregame simple, 2 = pregame full, 3 = in map
citadel_min_accel_speed | sv, cl, rep, cheat | Default: 400<br>How fast we accelerate depends on our move speed - this lower bound ensures it doesn't go below ground friction
citadel_minimum_fire_rate | sv, cl, rep, cheat | Default: -50<br>Minimum value possible for fire rate
citadel_npc_trooper_celebration_percent | sv | Default: 0.7<br>percent amount of troopers in the area to celebrate
citadel_player_data_velocity_bucket_fast | sv | Default: 800<br>
citadel_player_move_speed_scale | sv, cl, rep, cheat | Default: 1<br>Scales how fast players can move
citadel_player_neutral_gold_fallrate | sv | Default: 300<br>
citadel_pregame_fake_team_reveal_heroes_1 | cl | Default: <br>Comma separated hero names or hero ids for the team reveal screen.
citadel_pregame_fake_team_reveal_heroes_2 | cl | Default: <br>Comma separated hero names or hero ids for the team reveal screen.
citadel_replay_manager_download_simultaneous_requests | cl, a | Default: 3<br>
citadel_secure_gold_rate | sv | Default: 1<br>
citadel_send_gc_match_info_s | sv, cl, rep, release | Default: 30<br>Determines the rate that we should submit match info up to the GC, 0 disables this functionality
citadel_spew_rate_limited_suppressed_sounds | sv, cl, rep | Default: false<br>
citadel_ui_watch_active_game_refresh_s | cl, release | Default: 5<br>The number of seconds to wait between refreshes of the active matches while on the watch page
citadel_unit_status_delta_decay_rate | cl | Default: 3<br>
citadel_unit_status_old_update_rate | cl | Default: 30<br>How many times per second the unit status can update (0 = every frame).
citadel_visibility_queue_rate | cl | Default: 2<br>
citadel_wall_jump_fatigue_recovery | sv, cl, rep | Default: 1<br>Modifies how much we allow the wall jump fatigue to recover during other moves (i.e. heavy melee, air dash). 0.0 = Pause recovery totally. 1.0 = ignore and recover at the normal rate.
citadel_weapon_normalize_recoil_with_firerate | sv, cl, rep, cheat | Default: true<br>Keep recoil constant even with fire rate changes.
cl_async_client_shatter | cl | Default: true<br>spawn client glass shards asynchronously during demos or when remotely connected.
cl_async_restore_server_authoritative_state | cl | Default: false<br>
cl_async_usercmd_send |  | Default: false<br>
cl_async_usercmd_send_recvmargin_min |  | Default: 1<br>Min size of the recv margin queue when async usercmd send is disabled
cl_boxmove_speed | cl | Default: 1<br>how fast to run (1 to use player max run speed).
cl_cameraoverride_shadow_depth_bias | cl | Default: 0.006<br>
cl_cameraoverride_shadow_end | cl | Default: 0.8<br>
cl_clock_buffer_ticks |  | Default: 1<br>Clock sync will try to maintain an additional margin of N ticks.  This is intended to smooth over packet loss, and is a replacement for cl_interp_ratio / cl_interp.  This value is simply added to cl_clock_recvmargin_desired
cl_clock_recvmargin_adjust_limit_speedup |  | Default: 106<br>Clock sync will not speed up time faster than N%
cl_draw_simulating_entities | cl, cheat | Default: false<br>
cl_draw_simulating_entities_distance | cl | Default: false<br>
cl_dump_projected_texture_count | cl | Print out number of active projected textures
cl_fasttempentcollision | cl | Default: 20<br>
cl_generate_postdataupdatepreserved |  | Default: true<br>Do we invoke PostDataUpdatePreserved callbacks for entities that had no changes but are still in the PVS?
cl_globallight_shadow_mode | cl | Default: 0<br>
cl_hud_telemetry_net_misdelivery_poor | cl, a, release | Default: 5<br>Packet delivery anomaly rate (0..100) higher than this is considered 'poor'.
cl_interp | cl, release | Read the effective client simulation interpolation amount in terms of time.
cl_interp_animationvars | cl | Default: true<br>Interpolate LATCH_ANIMATION_BIT vars if interpolation interval is greater than simulation interval
cl_interp_parallel | cl | Default: true<br>Run interpolation in parallel for entities with no children.
cl_interp_ratio | cl, user | Default: 0<br>Sets the client simulation interpolation amount, in terms of server updates (final amount is cl_interp_ratio / cl_updaterate).
cl_interp_simulationvars | cl | Default: true<br>Interpolate LATCH_SIMULATION_BIT vars if interpolation interval is greater than animation interval
cl_interp_threadmodeticks | cl | Default: 0<br>Additional interpolation ticks to use when interpolating with threaded engine mode set.
cl_modifier_parallel_gather_status_effect_updates | cl, rep | Default: false<br>
cl_parallel_readpacketentities |  | Default: true<br>Set to 1 to use threading snapshot reading (if game supports and server is sending bitcounts).
cl_parallel_readpacketentities_threshold |  | Default: 4<br>Use parallel processing of snapshot reading if above this many entries.
cl_particle_sim_fallback_base_multiplier |  | Default: 5<br>How aggressive the switch to fallbacks will be depending on how far over the cl_particle_sim_fallback_threshold_ms the sim time is.  Higher numbers are more aggressive.
cl_particle_sim_fallback_threshold_ms |  | Default: 0<br>Amount of simulation time that can elapse before new systems start falling back to cheaper versions
cl_particle_simulate | cheat | Default: true<br>Enables/Disables Particle Simulation
cl_particles_dumpsimlist | cl | Dump all simulating particles, optional name substring.
cl_phys_assume_fixed_tick_interval | cl | Default: true<br>If true, we assume the client uses a fixed tickrate like the server (which may not always be true). If false, we recalculate the number of physics substeps in each client tick based on the actual elapsed time in the tick.
cl_phys_enabled | cl, cheat | Default: true<br>Enable all physics simulation
cl_phys_list | cl | List all physics component contents of every entity in the game;<br>    -stream \[1\|0\]         initiate\|terminate streaming to physics debugger<br>    -allents              include non-physical entities<br>    -classes              print class names<br>    -sdk                  Rubikon-wide memory short status<br>    -sdk -struct          Rubikon-wide memory use per struct<br>    -sdk -rebuildsvms     Rubikon-wide SVM force rebuild and status<br>    -world                current state of the world<br>    -world -touch         list body pairs (bodies in contact)<br>    -world -save &lt;name&gt;   save world to a file<br>    -world -mem           memory dump (separately per game dll)<br>    -world -snapshots     Start/Stop dumping snapshots of the world into the current directory<br>    -world -agg           current aggregate data registry (loaded resources)<br>
cl_precacheinfo |  | Show precache info (client).
cl_pred_parallel_postnetwork | cl | Default: true<br>
cl_predictioncopy_print | cl | Print simple description of prediction copy fields for entindex
cl_printfps | cl | Print information from cl_showfps.
cl_report_simthinklist | cl | Lists all simulating/thinking entities
cl_resetfps | cl | Reset information from cl_showfps.
cl_showfps | cl, release | Default: 0<br>Draw fps meter at top of screen (1 = fps, 2 = smooth fps, 3 = server MS, 4 = Show FPS and Log to file )
cl_simulate_dormant_entities | cl | Default: true<br>
cl_tickpacket_send_every_tick |  | Default: true<br>Send a network packet each time we generate a new usercommand, even if our frame rate is slow and we generate multiple commands in one frame
cl_updaterate | cl, a, user | Default: 20<br>Number of packets per second of updates you are requesting from the server
cl_usesocketsforloopback |  | Default: true<br>When connecting to local listen server (for example, using the 'map' command), default to loopback=false, which connects to '127.0.0.1' instead of 'loopback'.  This uses the network stack so that fake lag/loss can be simulated.
cloth_sim_on_tick | cl | Default: false<br>
cq_enable | sv, cl, rep | Default: true<br>Run one usercmd per server tick and maintain a buffer.  Client speeds up/slows down it's usercmd tick rate to maintain server command queue buffering.
crash | cheat | Crash the client. Optional parameter -- type of crash:<br> 0: read from NULL<br> 1: write to NULL<br> 2: force an Assert<br> 3: infinite loop<br> 4: stack buffer overrun<br> 5: multiple asserts across multiple threads. Optional number of threads (default 5)<br> 6: looping memory leak until we're out of memory. Optional allocation size in bytes (default 1048576/1MB)
crash_error | cheat | Cause the engine to crash by Plat_FatalError on main thread (Debug!!)
crash_error_job | cheat | Cause the engine to crash by Plat_FatalError on job thread (Debug!!)
crash_error_thread | cheat | Cause the engine to crash by Plat_FatalError on non-main thread (Debug!!)
crash_job | cheat | Cause the engine to crash in a job thread (Debug!!)
crash_thread | cheat | Cause the engine to crash in a brand new non-main thread (Debug!!)
csm_cascade_viewdir_shadow_bias_scale | cheat | Default: 2<br>
csm_max_num_cascades_override |  | Default: -1<br>Number of cascades in sunlight shadow
csm_max_shadow_dist_override |  | Default: 0<br>
csm_shadow_worldview_align_x_to_u | cheat | Default: false<br>
csm_shadow_worldview_shear_align_z_to_v | cheat | Default: false<br>
csm_sst_shadow_focus_region_maxz | cheat | Default: 2000<br>
csm_sst_shadow_focus_region_minz | cheat | Default: -2000<br>
csm_viewdir_shadow_bias | cheat | Default: 0<br>
csm_viewmodel_max_shadow_dist | cheat | Default: 21<br>
csm_viewmodel_shadows |  | Default: false<br>
cv_collect_assert_stack_for_gc | sv, cl, rep | Default: false<br>When enabled and collecting asserts for the GC, this will generate stacks for the asserts
debug_async_data_panel_override_state | cl | Default: -1<br>Force ALL async data panels to be in a specific state. -1:disabled, 0:failure, 1:loading, 2:success
debug_physimpact | sv | Default: false<br>
demo_usefastgoto |  | Default: true<br>Use fast frame skipping when available for demo_goto commands.
demo_writefullupdate_rate |  | Default: 60<br>Interval time in seconds to write full updates to demo.
dev_simulate_gcdown | cl | &lt;state&gt; Turn on/off simulated GC communications failure (GC is down in a way that we know it is down)
dumpstringtable |  | Usage:  dumpstringtable &lt;tablename \|all&gt; &lt;sv \| cl&gt; &lt;verbose \| simple&gt; &lt;element&gt;      Print string tables to console, verbose to dump data, simple to show name and count only, can specifiy a single numeric element index to restrict spew.
engine_accurate_input_processing_delta_time |  | Default: false<br>When true, elapsed time given to the input processing will be the time elapsed since the last input processing. This is only relevant when input is processed multiple times per frame ( i.e. multiple ticks per frame)
engine_allow_multiple_simulates_per_frame |  | Default: false<br>When the client is catching up in low frame rate situations, should we run client simulate more than once a frame?
engine_allow_multiple_ticks_per_frame |  | Default: true<br>When the client is catching up in low frame rate situations, should we run tick more than once a frame?
engine_frametime_warnings_enable |  | Default: true<br>Enable framerate-related warnings, such as sv_long_frame_ms.  Disabling warnings is useful when running in situations such a debug where a slow frame rate is expected
engine_low_latency_sleep_after_client_tick | release | Default: false<br>When r_low_latency is enabled, this moves the low latency sleep on tick frames to happen after client simulation.
engine_max_ticks_to_simulate |  | Default: 33<br>Max number of ticks to simulate per frame, after which simulation will start to slow down compared to real time.
engine_rendersystem_meets_min_dx_110_simple |  | Default: Unknown<br>Rendersystem meets min DX110 feature level (changing this does not change the shader model).
exec_async | cheat, norecord | Execute a cfg file over time
experimental_citadel_tick_rate_override | sv, cl, rep, release | Default: 0<br>
explode | sv, cheat | Kills the player with explosive damage
explodevector | sv, cheat | Kills a player applying an explosive force. Usage: explodevector &lt;player&gt; &lt;x value&gt; &lt;y value&gt; &lt;z value&gt;
filter_player_simulation_time | sv, cl, rep | Default: true<br>
fog_color | cl, cheat | Default: -1 -1 -1<br>
fog_colorskybox | cl, cheat | Default: -1 -1 -1<br>
fog_enable | cl, cheat | Default: true<br>Enable fog
fog_enableskybox | cl, cheat | Default: true<br>
fog_end | cl, cheat | Default: -1<br>
fog_endskybox | cl, cheat | Default: -1<br>
fog_hdrcolorscale | cl, cheat | Default: -1<br>
fog_hdrcolorscaleskybox | cl, cheat | Default: -1<br>
fog_maxdensity | cl, cheat | Default: -1<br>
fog_maxdensityskybox | cl, cheat | Default: -1<br>
fog_override | cl, cheat | Default: 0<br>Overrides the map's fog settings (-1 populates fog_ vars with map's values)
fog_override_color | cheat | Sets the fog color override
fog_override_enable | cheat | Default: false<br>Use fog_override convars instead of world fog data
fog_override_end | cheat | Default: 3500<br>
fog_override_exponent | cheat | Default: 2<br>
fog_override_max_density | cheat | Default: 0.4<br>
fog_override_start | cheat | Default: 1000<br>
fog_start | cl, cheat | Default: -1<br>
fog_startskybox | cl, cheat | Default: -1<br>
fog_volume_debug | sv | Default: false<br>If enabled, prints diagnostic information about the current fog volume
fps_max | a, release | Default: 400<br>Frame rate limiter.  0=no limit.  Does not apply to dedicated server.
fps_max_tools | a | Default: 120<br>Additional frame rate limit while in tools mode and a window other than the game window has focus. Note that fps_max still applies, this only allows the maximum frame rate for tools mode to be lower. 0=no tools specific limit.
fps_max_ui | a | Default: 120<br>Frame rate limiter while the game UI is displayed.  0=no limit.  Does not apply to dedicated server.
freecamera_fog_end | cl | Default: 2500<br>Fog end for Free Camera.
freecamera_fog_start | cl | Default: 1800<br>Fog start for Free Camera.
fs_async_threads |  | Default: -1<br>Number of IO threads in async filesystem (-1 == auto)
fs_fake_read_delay_ms | release | Default: 0<br>Add N ms of delay to every low-level read operation, to simulate a slow disk
fs_report_async_io |  | Default: false<br>
fs_warning_mode |  | Default: 0<br>0:Off, 1:Warn main thread, 2:Warn other threads
func_mover_async_movable_navmesh_updates | sv | Default: true<br>
gameinstructor_start_sound_cooldown | cl | Default: 4<br>Number of seconds forced between similar lesson start sounds.
generate_minidump_comment |  | Generate a minidump comment and spew the results to the console
generate_null_container |  | Generated a nulled out container.
generate_trash_synth |  | Args: \[Asset directory Path\]
hairsim_force_fixed_timestep | cheat | Default: true<br>
hairsim_reset | cheat | Default: false<br>
host_framerate | release | Default: 0<br>Set to lock per-frame time elapse.
hud_fastswitch | cl, a | Default: 0<br>
iv_parallel_latch | cl | Default: true<br>
iv_parallel_restore | cl | Default: false<br>
iv_wrapped_parallel_latch | cl | Default: true<br>
kelvin_ice_path_health | sv, cl, rep | Default: 21<br>Normalized against base firerate, 100 is 1 second
lb_allow_shadow_rotation | cheat | Default: true<br>SceneSystem/LightBinner/Shadow Rotation
lb_allow_time_sliced_shadow_map_rendering |  | Default: true<br>Allow time-sliced shadow buffer rendering when enabled via gameinfo.gi
lb_barnlight_shadow_use_precomputed_vis |  | Default: true<br>
lb_barnlight_shadowmap_scale | release | Default: 0.5<br>Scale for computed barnlight shadowmap size
lb_csm_receiver_plane_depth_bias |  | Default: 2e-05<br>Shader depth bias applied to shadow receiver (Note this conflicts with renderstate depth bias, both now default to 0)
lb_csm_receiver_plane_depth_bias_transmissive_backface |  | Default: 0.0002<br>Depth bias applied to shadow receiver for transmissive backface geo (based on renderstate depthbias being 0)
lb_debug_shadow_atlas | cheat | Default: false<br>SceneSystem/LightBinner/Debug Shadow Atlas
lb_debug_shadowtile_atlas | cheat | Default: false<br>SceneSystem/LightBinner/Debug ShadowTile Atlas
lb_debug_visualize_fog_shadowed_lights | cheat | Default: 0<br>SceneSystem/LightBinner/Debug Visualize Fog Shadowed Lights
lb_debug_visualize_shadowed_light_details | cheat | Default: false<br>
lb_debug_visualize_shadowed_lights | cheat | Default: 0<br>SceneSystem/LightBinner/Debug Visualize Shadowed Lights
lb_dynamic_shadow_penumbra |  | Default: true<br>Adjust shadow penumbra based on light size
lb_dynamic_shadow_resolution |  | Default: true<br>Dynamically adjust shadow resolution
lb_dynamic_shadow_resolution_base |  | Default: 256<br>Base resolution for dynamic shadowmap sizing.  Shadowmap size of a screen sized light
lb_dynamic_shadow_resolution_base_cmp_shadowmapsize | cheat | Default: false<br>take min of lb_dynamic_shadow_resolution and barnlight shadowmapsize as base shadowmapsize
lb_dynamic_shadow_resolution_delay |  | Default: 0.85<br>Update delay for shadow size
lb_dynamic_shadow_resolution_hysteresis |  | Default: 0.33<br>Update hysteresis for shadow size
lb_dynamic_shadow_resolution_quantization |  | Default: 64<br>Quantization of dynamically computed shadow size
lb_enable_baked_shadows | cheat | Default: true<br>SceneSystem/LightBinner/Enable Baked Shadows
lb_enable_fog_mixed_shadows | cheat | Default: false<br>SceneSystem/LightBinner/Enable Fog Mixed Shadows
lb_enable_shadow_casting |  | Default: false<br>Allow stationary/dynamic lights to cast shadows.
lb_mixed_shadows | cheat | Default: true<br>SceneSystem/LightBinner/Enable Mixed Shadows
lb_override_barn_light_shadow_fade_sizes | cheat | Default: 0.1 0.05<br>
lb_precomputed_shadowmap_depth_bias |  | Default: 0.0001<br>
lb_precomputed_shadowmap_enable |  | Default: true<br>
lb_shadow_map_cull_empty_mixed | cheat | Default: false<br>Don't render shadows for mixed shadowmaps with no dynamics objects in view
lb_shadow_map_culling | cheat | Default: true<br>
lb_shadow_texture_height_override |  | Default: -1<br>Override height of shadow atlas texture
lb_shadow_texture_width_override |  | Default: -1<br>Override width of shadow atlas texture
lb_sun_csm_size_cull_threshold_texels |  | Default: 30<br>Size, in texels, where we will cull an object in the shadowmap
lb_timesliced_shadows_dynamic_size |  | Default: true<br>
mat_async_shader_load | release | Default: false<br>
mat_depthbias_shadowmap | cl | Default: 0.0005<br>
mat_print_textures |  | Print loaded textures in alphabetical order. Takes an optional substring as an argument.
mat_print_textures_size |  | Print loaded textures in ascending size order. Takes an optional substring as an argument.
mat_print_textures_size_in_memory |  | Print loaded textures in ascending size order as they are in memory. Takes an optional substring as an argument.
mat_shadowmap_luxels | cheat | Default: false<br>
mat_slopescaledepthbias_shadowmap | cl | Default: 4<br>
mat_tonemap_force_accelerate_exposure_down | cheat | Default: -1<br>
mat_tonemap_force_rate | cheat | Default: -1<br>
minimap_update_rate_hz | sv, release | Default: 30<br>
mobile_fps_increase_during_charging | a | Default: false<br>MOBILE_FPS_CONTROL: If true we increase framerate limit while charging
mobile_fps_increase_during_hfr_animations |  | Default: true<br>MOBILE_FPS_CONTROL: If true we increase framerate limit during HFR-tagged animations and transitions.
mobile_fps_increase_during_touch | a | Default: true<br>MOBILE_FPS_CONTROL: If true we increase framerate limit during touch
mobile_fps_limit | a | Default: 30<br>MOBILE_FPS_CONTROL: Mobile FPS limit - 15, 30, 60
nav_gen_oriented_angle_tol | sv, cheat | Default: 15<br>Max abrupt orientation difference an NPC can tolerate when moving through the mesh (degrees).
nav_obstruction_async_update | sv | Default: false<br>
nav_pathfind_multithread | sv, cheat | Default: false<br>
nav_test_bfs_lattice_hex | sv, cheat | Default: false<br>Demonstrates searching hexagonal lattice over nav mesh.
nav_test_bfs_lattice_simple | sv, cheat | Default: false<br>
nav_test_bfs_simple | sv, cheat | Default: false<br>
nav_test_find_random_connected | sv, cheat | Default: false<br>Demonstrates finding random points that are connected in the nav mesh to the start point.
navlocal_parallel_trace_path_for_obstacle | sv | Default: true<br>
net_async_clientconnect |  | Default: true<br>Enable async client connect optimization
net_async_job_random_sleep |  | Default: 0<br>Sleep randomly 0..net_async_job_random_sleep ms in the parallel server jobs; sleep is per job
net_captureculldata |  | Captures low-level data to replay path culling algorithm behavior in controlled unit test environment
net_culloptimization |  | Default: true<br>Enable optimization of slow path that makes HLTV CPU consumption high in AnimGraph-using mods. Will switch to this on by default soon.
net_fakeclear | release | Clear all simulated network conditions
net_fakestatus | release | Print current simulated network condifions
net_use_delta_property_fastpath |  | Default: 1<br>
panorama_allow_texture_composition_layer_fast_path |  | Default: true<br>
panorama_async_compute_mipgen | cl | Default: true<br>use asynchronous compute for mipmap generation.
panorama_box_shadow_no_comp_layer |  | Default: true<br>
panorama_disable_box_shadow |  | Default: true<br>
panorama_disable_draw_text_shadow |  | Default: false<br>
panorama_generate_layout_xsd |  | Generate the Layout XML Schema Definition for the current run-time (types are dependent on which game DLL is running).
panorama_hsbc_through_fast_path |  | Default: true<br>
panorama_max_fps |  | Default: 60<br>
panorama_max_oof_overlay_up_fps |  | Default: 4<br>
panorama_max_overlay_fps |  | Default: 30<br>
panorama_max_text_shadow_strength |  | Default: 10<br>
panorama_movie_async_load_size_bytes | cl | Default: 20971520<br>
panorama_show_fps |  | Default: false<br>
panorama_show_fps_scale |  | Default: 1<br>
panorama_simple_borders_no_comp_layer |  | Default: true<br>
panorama_spew_async_event_substring |  | Default: <br>If non-empty, print debug info about async event queue and dispatch behavior for events containing the substring.
panorama_transition_time_factor |  | Default: 1<br>A float representing a scale factor for transitions. 1.0 is normal, 2.0 would be twice as fast as normal, 0.5 half as fast
panorama_worldpanel_update_cull_distance | cl | Default: 1000<br>
panorama_worldpanel_update_cull_size_threshold | cl | Default: 5<br>
panorama_worldpanel_update_culling | cl | Default: false<br>
parallel_perform_invalidate_physics | sv, cl, rep | Default: false<br>
parallel_update_surrounding_bounds_in_spatial_partition_update | sv, cl, rep | Default: false<br>
particle_powsimd_random_range_exp |  | Default: true<br>
phys_cull_internal_mesh_contacts | rep | Default: false<br>
phys_list | sv | List all physics component contents of every entity in the game;<br>    -stream \[1\|0\]         initiate\|terminate streaming to physics debugger<br>    -allents              include non-physical entities<br>    -classes              print class names<br>    -sdk                  Rubikon-wide memory short status<br>    -sdk -struct          Rubikon-wide memory use per struct<br>    -sdk -rebuildsvms     Rubikon-wide SVM force rebuild and status<br>    -world                current state of the world<br>    -world -touch         list body pairs (bodies in contact)<br>    -world -save &lt;name&gt;   save world to a file<br>    -world -mem           memory dump (separately per game dll)<br>    -world -snapshots     Start/Stop dumping snapshots of the world into the current directory<br>    -world -agg           current aggregate data registry (loaded resources)<br>
phys_multithreading_enabled | sv, cl, rep | Default: true<br>Enable/Disable Multithreading in VPhysics
phys_step_threaded |  | Default: true<br>
phys_threaded_cloth_bone_update | sv, cl, rep | Default: false<br>
phys_threaded_kinematic_bone_update | sv, cl, rep | Default: false<br>
phys_threaded_transform_update | sv, cl, rep | Default: false<br>
r_aoproxy_cull_dist |  | Default: 12<br>Distance to cull the AO proxy as a factor of size
r_async_compute_fog | cl | Default: false<br>
r_async_shader_compile_notify_frequency |  | Default: 10<br>
r_character_decal_resolution |  | Default: 1<br>Resolution of character decal texture.
