r_Citadel_default_post_process_fade_ui | cl | Default: 1<br>
lb_convert_to_barn_lights_falloff_match_point |  | Default: 0.15<br>
lb_csm_cascade_size_override |  | Default: 1<br>Override width/height of individual cascades in the CSM
lb_csm_cross_fade_override |  | Default: -1<br>Override CSM cross fade amount
lb_csm_distance_fade_override |  | Default: -1<br>Override CSM distance fade
lb_csm_draw_alpha_tested |  | Default: false<br>
lb_csm_draw_translucent |  | Default: false<br>
lb_csm_fov_override | cheat | Default: -1<br>
lb_csm_override_bulb_radius |  | Default: -1<br>Override bulb radius for CSM
lb_csm_override_staticgeo_cascades |  | Default: false<br>Override Cascades that will render static objects with lb_csm_override_staticgeo_cascades_value
lb_csm_override_staticgeo_cascades_animated_verts |  | Default: true<br>If lb_csm_override_staticgeo_cascades, ensure only objects without animated verts, i.e. SCENEOBJECTFLAG_CAN_RENDER_INTO_SST flag will be excluded (as opposed to all static objects).
lb_csm_override_staticgeo_cascades_value |  | Default: 0<br>If lb_csm_override_staticgeo_cascades, override value used to determine which cascades render static objects
lb_csm_receiver_plane_depth_bias |  | Default: 2e-05<br>Shader depth bias applied to shadow receiver (Note this conflicts with renderstate depth bias, both now default to 0)
lb_csm_receiver_plane_depth_bias_transmissive_backface |  | Default: 0.0002<br>Depth bias applied to shadow receiver for transmissive backface geo (based on renderstate depthbias being 0)
lb_cubemap_normalization_max |  | Default: 32<br>
lb_cubemap_normalization_roughness_begin |  | Default: 0.1<br>
lb_debug_light_bounds | cheat | Default: false<br>SceneSystem/LightBinner/Debug Light Bounds
lb_debug_shadow_atlas | cheat | Default: false<br>SceneSystem/LightBinner/Debug Shadow Atlas
lb_debug_shadowtile_atlas | cheat | Default: false<br>SceneSystem/LightBinner/Debug ShadowTile Atlas
lb_debug_silhouette | cheat | Default: <br>SceneSystem/LightBinner/Debug Silhouettes
lb_debug_silhouette_sum | cheat | Default: 1<br>If we should draw normal silhouette or minkowski sum silhouette
lb_debug_tiles | cheat | Default: <br>SceneSystem/LightBinner/Debug Tiles
lb_debug_visualize_fog_shadowed_lights | cheat | Default: 0<br>SceneSystem/LightBinner/Debug Visualize Fog Shadowed Lights
lb_debug_visualize_lights | cheat | Default: 0<br>SceneSystem/LightBinner/Debug Visualize Lights
lb_debug_visualize_shadowed_light_details | cheat | Default: false<br>
lb_debug_visualize_shadowed_lights | cheat | Default: 0<br>SceneSystem/LightBinner/Debug Visualize Shadowed Lights
lb_dynamic_shadow_penumbra |  | Default: true<br>Adjust shadow penumbra based on light size
lb_dynamic_shadow_resolution |  | Default: true<br>Dynamically adjust shadow resolution
lb_dynamic_shadow_resolution_base |  | Default: 256<br>Base resolution for dynamic shadowmap sizing.  Shadowmap size of a screen sized light
lb_dynamic_shadow_resolution_base_cmp_shadowmapsize | cheat | Default: false<br>take min of lb_dynamic_shadow_resolution and barnlight shadowmapsize as base shadowmapsize
lb_dynamic_shadow_resolution_delay |  | Default: 0.85<br>Update delay for shadow size
lb_dynamic_shadow_resolution_hysteresis |  | Default: 0.33<br>Update hysteresis for shadow size
lb_dynamic_shadow_resolution_quantization |  | Default: 64<br>Quantization of dynamically computed shadow size
lb_enable_baked_shadows | cheat | Default: true<br>SceneSystem/LightBinner/Enable Baked Shadows
lb_enable_binning |  | Default: true<br>SceneSystem/LightBinner/Enable Binning
lb_enable_dynamic_lights | cheat | Default: false<br>Allows rendering dynamic lights
lb_enable_envmaps | cheat | Default: true<br>SceneSystem/LightBinner/Enable EnvMaps
lb_enable_fog_mixed_shadows | cheat | Default: false<br>SceneSystem/LightBinner/Enable Fog Mixed Shadows
lb_enable_lights | cheat | Default: false<br>SceneSystem/LightBinner/Enable Lights
lb_enable_newsum | cheat | Default: true<br>SceneSystem/LightBinner/Enable New Sum
lb_enable_shadow_casting |  | Default: false<br>Allow stationary/dynamic lights to cast shadows.
lb_enable_stationary_lights | cheat | Default: true<br>Allows rendering stationary/mixed lights
lb_enable_sunlight | cheat | Default: true<br>SceneSystem/LightBinner/Enable Sunlight
lb_low_quality_shader_fade_region_rescale | cheat | Default: 0<br>For envmaps in low quality shader mode, how much of the fade region to scale the envmap box by.
lb_max_visible_barn_lights_override | cheat | Default: 0<br>Override maximum visible barn lights
lb_max_visible_envmaps_override | cheat | Default: -1<br>Override maximum visible envmaps
lb_mixed_shadows | cheat | Default: true<br>SceneSystem/LightBinner/Enable Mixed Shadows
lb_override_barn_light_fade_sizes | cheat | Default: 0.05 0.025<br>
lb_override_barn_light_fade_sizes_enable | cheat | Default: false<br>
lb_override_barn_light_shadow_fade_sizes | cheat | Default: 0.1 0.05<br>
lb_precomputed_shadowmap_depth_bias |  | Default: 0.0001<br>
lb_precomputed_shadowmap_enable |  | Default: true<br>
lb_shadow_map_cull_empty_mixed | cheat | Default: false<br>Don't render shadows for mixed shadowmaps with no dynamics objects in view
lb_shadow_map_culling | cheat | Default: true<br>
lb_shadow_texture_height_override |  | Default: -1<br>Override height of shadow atlas texture
lb_shadow_texture_width_override |  | Default: -1<br>Override width of shadow atlas texture
lb_ssss_importance_sample |  | Default: false<br>
lb_ssss_samples |  | Default: 0<br>Subsurface sample count
lb_sun_csm_size_cull_threshold_texels |  | Default: 30<br>Size, in texels, where we will cull an object in the shadowmap
lb_tile_pixels |  | Default: 8<br>
lb_timesliced_shadows_dynamic_size |  | Default: true<br>
lb_use_ellipsoid_bounds | cheat | Default: true<br>
lb_use_illumination_silhouette | cheat | Default: true<br>SceneSystem/LightBinner/Use Illumination Bounds
sc_aggregate_bvh |  | Default: true<br>
sc_aggregate_bvh_threshold |  | Default: 128<br>
sc_aggregate_debug_draw_meshlets |  | Default: 0<br>SceneSystem/Aggregates/Visualize Meshlets
sc_aggregate_debug_draw_meshlets_bounds |  | Default: false<br>Visualize meshlet bounds and cone axis. Mesh shader only.
sc_aggregate_debug_visualizer | cheat | Default: false<br>SceneSystem/Aggregates/Debug Visualizer
sc_aggregate_fragment_merging |  | Default: true<br>
sc_aggregate_gpu_culling |  | Default: true<br>Toggles GPU culling of aggregate meshes
sc_aggregate_gpu_culling_conservative_bounds |  | Default: false<br>
sc_aggregate_gpu_culling_show_culled |  | Default: false<br>SceneSystem/Aggregates/Show GPU Culled Meshes
sc_aggregate_gpu_occlusion_culling |  | Default: true<br>
sc_aggregate_gpu_vis_culling |  | Default: true<br>
sc_aggregate_indirect_draw_compaction | release | Default: true<br>Use multidrawindirect...count if the driver/hardware supports it
sc_aggregate_indirect_draw_compaction_threshold | release | Default: 8<br>Threshold of indirect draws when we will do compaction
sc_aggregate_instance_streams |  | Default: true<br>Enable instance streams
sc_aggregate_material_solo | cheat | Default: <br>
sc_aggregate_render_mesh_shader |  | Default: true<br>Using mesh shaders if available instead of drawcalls
sc_aggregate_rtproxy_debug_visualizer | cheat | Default: false<br>SceneSystem/Aggregates/RT Proxy Debug Visualizer
sc_aggregate_rtproxy_instanced_geo | cheat | Default: true<br>
sc_aggregate_rtproxy_unique_geo | cheat | Default: true<br>
sc_aggregate_show_outside_vis |  | Default: false<br>
sc_allow_dithered_lod |  | Default: true<br>Allow use of dithered lod transitions
sc_allow_dynamic_constant_batching |  | Default: true<br>
sc_allow_precomputed_vismembers |  | Default: true<br>
sc_allow_write_depth_before_blend |  | Default: true<br>
sc_barnlight_enable_precomputed_vis |  | Default: true<br>Enable use of precomputed vis membership for lights (requires map restart)
sc_batch_layer_cb_updates |  | Default: true<br>
sc_cache_envmap_lpv_lookup |  | Default: true<br>
sc_clutter_density_full_size |  | Default: 0.0075<br>Screen-size where clutter will be full density
sc_clutter_density_none_size |  | Default: 0.0035<br>Screen-size where clutter will be gone
sc_clutter_desity_override |  | Default: false<br>
sc_clutter_enable |  | Default: true<br>SceneSystem/Clutter/Draw Clutter
sc_disableThreading | cheat | Default: false<br>
sc_disable_baked_lighting |  | Default: false<br>
sc_disable_culling_boxes | cheat | Default: false<br>
sc_disable_procedural_layer_rendering | cheat | Default: false<br>
sc_disable_shadow_fastpath | cheat | Default: false<br>
sc_disable_spotlight_shadows | cheat | Default: true<br>
sc_disable_world_materials | cheat | Default: false<br>
sc_dithered_lod_transition_amt |  | Default: 0.075<br>Percentage of the transition between two lods we will apply a dither
sc_draw_aggregate_meshes |  | Default: true<br>SceneSystem/Aggregates/Draw Aggregates
sc_dump_lists | cheat | Default: <br>
sc_dumpworld | cheat | Dump a list of the objects in a sceneworld (Usage: sc_dumpworld &lt;world_index&gt;)
sc_dumpworld3d | cheat | Dump the objects in a sceneworld into a 3d geoview buffer (Usage: sc_dumpworld3d &lt;world_index&gt;)
sc_enable_discard |  | Default: true<br>
sc_extended_stats | cheat | Default: false<br>
sc_fade_distance_scale_override | cheat | Default: 180<br>
sc_force_lod_level | cheat | Default: -1<br>
sc_force_materials_batchable | cheat | Default: false<br>
sc_force_single_display_list_per_layer |  | Default: false<br>
sc_force_translation_in_projection | cheat | Default: false<br>If enabled, the camera's translation will be included in the projection matrix.
sc_hdr_enabled_override |  | Default: 0<br>Override default setting for HDR rendering. -1 default, 0 NoHdr, 1 Hdr, 2 Hdr 1010102 3 Hdr 111110
sc_imgui_show_debug_log | cheat | Default: false<br>SceneSystem/Imgui/Show Debug Log
sc_imgui_show_id_stack | cheat | Default: false<br>SceneSystem/Imgui/Show ID Stack Tool
sc_imgui_show_metrics | cheat | Default: false<br>SceneSystem/Imgui/Show Metrics
sc_instanced_debug_visualizer | cheat | Default: false<br>SceneSystem/Instanced/Debug Visualizer
sc_instanced_gpu_culling_show_culled |  | Default: false<br>SceneSystem/Instanced/Show GPU Culled Meshlets
sc_instanced_material_solo | cheat | Default: <br>
sc_instanced_mesh_enable | cheat | Default: true<br>SceneSystem/Instanced/Draw Instanced
sc_instanced_mesh_gpu_culling |  | Default: true<br>Toggles GPU culling of instanced meshes
sc_instanced_mesh_gpu_density_culling |  | Default: true<br>Toggles density culling (if enabled)
sc_instanced_mesh_gpu_occlusion_culling |  | Default: true<br>Toggles GPU occlusion of instanced meshes
sc_instanced_mesh_gpu_vis_culling |  | Default: true<br>Toggles GPU vis of instanced meshes
sc_instanced_mesh_lod_bias |  | Default: 10<br>Bias for LOD selection of instanced meshes
sc_instanced_mesh_lod_bias_shadow |  | Default: 10<br>Bias for LOD selection of instanced meshes in shadowmaps
sc_instanced_mesh_mesh_shader |  | Default: true<br>Toggles mesh shader rendering for instanced meshes
sc_instanced_mesh_motion_vectors |  | Default: false<br>Toggles motion vector support for instanced meshes
sc_instanced_mesh_opaque_fade |  | Default: true<br>Toggles fade support for instanced meshes
sc_instanced_mesh_size_cull_bias |  | Default: 10<br>Bias for size culling of instanced meshes
sc_instanced_mesh_size_cull_bias_shadow |  | Default: 10<br>Bias for size culling instanced meshes in shadowmaps
sc_instanced_mesh_solo | cheat | Default: <br>
sc_keep_all_layers |  | Default: false<br>
sc_layer_batch_threshold |  | Default: 128<br>
sc_layer_batch_threshold_fullsort |  | Default: 80<br>
sc_list_extradata_allocations |  | Prints out the overall extra data allocation counts
sc_listworlds | cheat | List all the active sceneworlds
sc_max_framebuffer_copies_per_layer |  | Default: 1<br>
sc_mesh_backface_culling |  | Default: true<br>
sc_no_cull |  | Default: false<br>
sc_no_vis |  | Default: false<br>
sc_only_render_opaque | cheat | Default: false<br>
sc_only_render_shadowcasters | cheat | Default: false<br>
sc_particle_debug_visualizer | cheat | Default: false<br>SceneSystem/Particles/Debug Visualizer
sc_reject_all_objects | cheat | Default: false<br>
sc_rendergraph_debug_visualizer |  | Default: false<br>SceneSystem/RenderGraph Visualizer
sc_screen_size_lod_scale_override | cheat | Default: -1<br>
sc_setclassflags | cheat | Low level command to set the flags byte associated with an object class. sc_SetClassFlags &lt;classname&gt; &lt;value&gt;<br>
sc_shadow_depth_bias |  | Default: 256<br>
sc_shadow_depth_bias_clamp |  | Default: 0<br>
sc_shadow_depth_bias_state_override |  | Default: false<br>
sc_shadow_slopescale_depth_bias |  | Default: 2.13<br>
sc_show_cs_skinning_stats | cheat | Default: false<br>SceneSystem/Compute Skinning Stats
sc_show_gpu_profiler | cheat | Default: false<br>SceneSystem/GPU Profiler
sc_show_hair_debug_ui | cheat | Default: false<br>SceneSystem/Hair Debug UI
sc_show_object_browser | cheat | Default: false<br>SceneSystem/SceneObject Browser
sc_show_texture_visualizer | cheat | Default: false<br>SceneSystem/Texture Visualizer
sc_show_view_profiler | cheat | Default: false<br>SceneSystem/View Profiler
sc_showclasses | cheat | List the object class names known by scenesystem<br>
sc_skip_traversal | cheat | Default: false<br>
sc_spew_cmt_usage |  | Default: false<br>
sc_throw_away_all_layers |  | Default: false<br>
sc_use_clear_subrect |  | Default: false<br>
sc_view_profiler_frame_averaging |  | Default: 10<br>
sc_visualize_batches |  | Default: 0<br>color per batch
sc_visualize_sceneobjects |  | Default: SCENEOBJECT_VIS_NONE<br>SceneSystem/Visualize SceneObject Mode
